NAME,TYPE,Rah,_m,_s,RA,DEd,_m_,s,Dec,GLON,GLAT,Pos,e_Pos,Opt,r_Opt,A,Vmag,B,Vmag1,u_vm,ag,B-V,u_B-V,C,D,E,U-B,F,G,r_Fx,H,porb,r_Ppu,lse,cat,Name3
0042+323,T,0,44,50.4,0:44:50.4,33,1,17,33:1:17,121.3,-29.8,x,60,*3,[168,],19.3,NaN,0.6,NaN,NaN,0.2,,[168,],<,0.5,-,55,[103,],,NaN,NaN,"U,M,A,AS,R,B,X",XN Per 1992
J0422+32,T,4,18,29.9,4:18:29.9,32,47,24,32:47:24,197.3,-11.9,"o,r",,,,,13.2,,0.3,-0.5,,-0.23,0.4,"[1151,1158,1159",],,3000,,(20-300keV),"[433,991",],5.1,"[125,150,664,",980],"C,Gr,R,K,AS,X",
0512-401,GB,5,14,6.6,5:14:6.6,-40,2,37,-40:2:37,244.5,-35,x,2,NGC1851,[475,],,,,,,0.1,:,[2,],,3,-,6,"[124,999,1366",],,,,"U,M,A,H,G,Exo",
0521-720,Z?,5,20,29.2,5:20:29.2,-71,57,36,-71:57:36,283.1,-32.7,o,3,*22,[637,],18,-19,0,-0.8,,0.1,,"[121,260,778",],,9,-,44,[103,],8.16,"[121,1173",],"U,M,A,H,X,R",LMC X-2
J0532.7-6926,,5,32,42.8,5:32:42.8,-69,26,18,-69:26:18,279.9,-32.1,x,3.9,,,,,,,,,,,,,,0.5,,,[484,],,,,R,
0614+091,AB,6,17,7.3,6:17:7.3,9,8,13,9:8:13,200.9,-3.4,o,,V1055 Ori,"[323,447",],18.5,,0.3,-0.5,,0.3,,[287,],,50,,,"[1399,1448",],,,,"U,M,A,H,S,Gr,E,Exo,X,B",
0620-003,TU,6,22,44.5,6:22:44.5,0,20,45,0:20:45,210,-6.5,o,,V616 Mon,"[331,447",],11.2,,0.2,-0.8,,0.4,,[1407,],<,0.02,-,50000,"[774,1407",],7.75,[857,],"A,S,R",N Mon 1975
0656-072,T,6,58,27,6:58:27,-7,15,50,-7:15:50,220.2,-1.7,x,180,,,,,,,,,,,,,,20,-,80,"[143,215,656",],,,,A,
0748-676,TBD,7,48,33.8,7:48:33.8,-67,45,9,-67:45:9,280,-19.3,o,,UY Vol,[1262,],16.9,-17.5,0.1,-0.9,,0.42,,"[1125,1128",],,0.1,-,60,[443,],3.82,"[998,1001",],"Exo,AS,R,G,X",
J0835.9+5118,TB,8,35,56,8:35:56,51,18,36,51:18:36,167.5,36.9,x,180,,,,,,,,,,,,,<,6,,,[399,],,,,B,
0836-429,TB,8,37,23,8:37:23,-42,53,9,-42:53:9,261.9,-1.1,x,60,,[72,],,,,,,,,,,,1,-,55,"[230,511,794",],,,,"U,M,Gr,G,R",
0918-549,,9,20,26.8,9:20:26.8,-55,12,24,-55:12:24,275.9,-3.8,x,5,*X,[187,],21,,0.3,-0.9,,0.3,,"[187,1348",],,10,,,[187,],,,,"U,M,A,H,S",
0921-630,D,9,22,34.7,9:22:34.7,-63,17,42,-63:17:42,281.8,-9.3,o,,V395 Car,[760,],15.3,,0.6,-0.5,,0.2,,"[113,186,847,1348",],,3,,,"[760,847",],216.2,"[846,847",],"A,S,Exo",
1009-45,TU,10,13,36,10:13:36,-45,4,35,-45:4:35,275.4,9.4,o,,*1,"[306,1140",],14.71,,0.13,,,0.2,,[306,],,800,,(1-10keV),[1263,],,,,"C, AS, Gr",XN Vel 1993
J1118+480,TA?,11,18,10.85,11:18:10.85,48,2,12.9,48:2:12.9,157.6,62.3,o,0.2,*1,[1312,],12.25,-18.8,,,<,0.024,,"[410,1312",],,40,,(2-12keV),[1084,],4.1,"[232,1312",],"AS,X,C",
1124-684,TU,11,26,26.7,11:26:26.7,-68,40,33,-68:40:33,295,-6.1,o,,,[303,],13.6,,0.3,,,0.25,,"[303,435",],<,4,-,3000,"[1235,1241",],10.4,"[27,867,1075",],"Gr,G,C",N Mus 1991
1254-690,BD,12,57,37.2,12:57:37.2,-69,17,21,-69:17:21,303.5,-6.4,o,,GR Mus,[463,],19.1,,0.3,,,0.35,,[927,],,25,,,[247,],3.93,"[247,927",],"U,M,A,H,S,X,G",
1323-619,BD,13,26,36.1,13:26:36.1,-62,8,10,-62:8:10,307.1,0.2,x,3,,[1000,],,,,,~,5,:,[1000,],,7,,,"[1000,1399",],2.93,[1000,],"U,M,A,B",
1354-645,TU,13,58,9.7,13:58:9.7,-64,44,5,-64:44:5,310,-2.8,o,,BW Cir,[678,],16.9,,1.1,-0.1,~,1,:,[678,],,5,-,120,"[678,1135",],,,,"M,G,X",Cen X-2      ?
1455-314,TB,14,58,22,14:58:22,-31,40,8,-31:40:8,332.2,23.9,o,,V822 Cen,[141,],12.8,,0.05,-0.9,,0.1,,"[84,141",],,0.1,-,20000,"[231,1350",],15.1,"[196,254,858",],"V,A,Ha,AS,B,R",Cen X-4
1516-569,TBA,15,20,40.9,15:20:40.9,-57,10,1,-57:10:1,322.1,0,r,,BR Cir,[916,],21.4,,,,>,1,,"[916,1216",],,5,-,3000,[103,],398.4,[655,],"U,M,A,H,S,AS,X",Cir X-1
1524-617,TU,15,28,17.2,15:28:17.2,-61,52,58,-61:52:58,320.3,-4.4,o,3,KY TrA,[940,],,,,,,0.7,,[940,],<,5,-,950,[103,],,,,"A,S,R.Gr","TrA X-1       , *N"
1543-475,TU,15,47,8.6,15:47:8.6,-47,40,10,-47:40:10,330.9,54,o,,star,[183,],14.9,,0.6,,,0.7,,"[1025,1340",],<,1,-,15000,"[103,676",],26.95,[984,],"U,M,T,C",
1543-624,,15,47,54.8,15:47:54.8,-62,34,5,-62:34:5,321.8,-6.3,o,,*6,[8,],,,,,,0.5,,[860,],,35,,,[1399,],,,,"U,M,A,H,S,Exo",
J1550-564,T,15,50,58.78,15:50:58.78,-56,28,35,-56:28:35,325.9,-1.8,o,2,,[630,],16.6,-21.4,1.35,,,-0.7,1.6,"[629,630,1114",],,600,-,7000,"[272,1080",],36.96,[631,],"X,AS,C",
1556-605,,16,1,2.3,16:1:2.3,-60,44,17,-60:44:17,324.1,-5.9,o,,LU TrA,[928,],18.6,-19.2,0.45,-0.7,,0.6,,"[928,1127",],,16,,,"[928,1399",],9.1          :,[1170,],"U,M,A,H,S",*X
1603.6+2600,,16,5,45.8,16:5:45.8,25,51,45,25:51:45,42.8,46.8,o,,UW CrB,[488,],19.7,,,,<,0.1,,[921,],,0.15,,(0.3-3.2keV),[921,],1.85,[921,],"E,R",
J1603.9-7753,TB,16,3,54,16:3:54,-77,53,6,-77:53:6,312.4,-18.7,x,180,,,,,,,,,,,,,,160,,,[933,],,,,B,
1608-522,TBA,16,12,43,16:12:43,-52,25,23,-52:25:23,330.9,-0.9,o,,QX Nor,"[470,1382",],,,,,,1.5,,"[470,1028",],<,1,-,110,[103,],,,,"U,M,H,S,AS,C,X",
1617-155,Z,16,19,55.1,16:19:55.1,-15,38,25,-15:38:25,359.1,23.8,o,,V818 Sco,"[447,1115",],12.2,,0.2,-0.8,,-0.15,0.3,"[397,537,1379",],,14000,,,[1399,],18.9,"[442,727",],"U,M,A,H",Sco X-1
1624-490,D,16,28,2.4,16:28:2.4,-49,11,25,-49:11:25,334.9,-0.3,x,12,,[1072,],,,,,~,7,,[1404,],,55,,,[1399,],21,[640,],"U,M,A,H,S,X,B",
1627-673,P,16,32,16.8,16:32:16.8,-67,27,43,-67:27:43,321.8,-13.1,o,,KZ TrA,"[105,633",],18.5,,0.1,-1.2,,0.1,,"[861,1348",],,25,,,[872,],0.69,"7.7      [891,943",],"U,M,A,H,S,B,R,AS,C,X,Exo",*4
1630-472,TUD,16,34,0.4,16:34:0.4,-47,23,39,-47:23:39,336.9,0.3,x,10,,[997,],,,,,,4.5,,[997,],<,2,-,1400,[103,],,,,"U,M,A,C,X,B,G,E",
1632-477,,16,36,28,16:36:28,-47,49,37,-47:49:37,336.9,-0.4,x,66,,,,,,,,,,,,,,13,,,[611,],,,,K,
1636-536,BA,16,40,55.5,16:40:55.5,-53,45,5,-53:45:5,332.9,-4.8,o,,V801 Ara,[633,],17.5,,0.7,-0.7,,0.8,,"[730,861",],,220,,,[1399,],3.8,[1354,],"U,M,A,H,S,X,Exo",*3
1642-455,Z,16,45,47.7,16:45:47.7,-45,36,40,-45:36:40,339.6,-0.1,r,,,[8,],,,,,1,2,:,[527,],,500,,,[1399,],,,,"U,M,A,H,S,X",GX 340+0
